,index,amount,transaction_id,rate,flat_fee,product,Date 
107,0,77,pos_1609489215196978077,0.01,2,pos,1/1/2021
32242,3,31,pos_1609513431220200031,0.01,2,pos,1/1/2021
27779,4,156,pos_1609507206853100156,0.01,2,pos,1/1/2021
33911,7,31,pos_1609519739512084031,0.01,2,pos,1/1/2021
14094,9,133,pos_1609495891876022133,0.01,2,pos,1/1/2021
28935,16,38,pos_1609600251966024038,0.01,2,pos,2/1/2021
22886,19,45,pos_1609554793422075045,0.01,2,pos,2/1/2021
37372,22,43,pos_1609675559651066043,0.01,2,pos,3/1/2021
1352,24,109,pos_1609665568548439109,0.01,2,pos,3/1/2021
10949,27,102,pos_1609655902788658102,0.01,2,pos,3/1/2021
29664,29,25,pos_1609767755199389025,0.01,2,pos,4/1/2021
14758,31,126,pos_1609768241103115126,0.01,2,pos,4/1/2021
11875,35,22,pos_1609759970508519022,0.01,2,pos,4/1/2021
6685,38,137,pos_1609758395598945137,0.01,2,pos,4/1/2021
23211,39,5,pos_1609728118916365005,0.01,2,pos,4/1/2021
18435,44,71,pos_1609844702741464071,0.01,2,pos,5/1/2021
29462,45,99,pos_1609872850125149099,0.01,2,pos,5/1/2021
29845,47,251,pos_1609841225533280251,0.01,2,pos,5/1/2021
1114,49,121,pos_1609926796629573121,0.01,2,pos,6/1/2021
15018,52,82,pos_1609945976040396082,0.01,2,pos,6/1/2021
39164,54,42,pos_1609966498969425042,0.01,2,pos,6/1/2021
39497,56,128,pos_1609934374852140128,0.01,2,pos,6/1/2021
29914,71,32,pos_1610109961450569032,0.01,2,pos,8/1/2021
9710,72,32,pos_1610116137461480032,0.01,2,pos,8/1/2021
40215,79,67,pos_1610116393992613067,0.01,2,pos,8/1/2021
25891,83,9,pos_1610205876668728009,0.01,2,pos,9/1/2021
3684,85,26,pos_1610205561748427026,0.01,2,pos,9/1/2021
10658,87,166,pos_1610183282523504166,0.01,2,pos,9/1/2021
36936,88,31,pos_1610220898564277031,0.01,2,pos,9/1/2021
10225,89,23,pos_1610192464221053023,0.01,2,pos,9/1/2021
4390,93,127,pos_1610298492012361127,0.01,2,pos,10/1/2021
14753,104,35,pos_1610373636324080035,0.01,2,pos,11/1/2021
29295,107,72,pos_1610382653248974072,0.01,2,pos,11/1/2021
32859,108,109,pos_1609533914303226109,0.01,2,pos,1/1/2021
16991,109,31,pos_1609519739512084031,0.01,2,pos,1/1/2021
15203,111,133,pos_1609495891876022133,0.01,2,pos,1/1/2021
21425,113,11,pos_1609510181597893011,0.01,2,pos,1/1/2021
21167,116,101,pos_1609579746103391101,0.01,2,pos,2/1/2021
36228,119,104,pos_1609573217721930104,0.01,2,pos,2/1/2021
1794,124,43,pos_1609675559651066043,0.01,2,pos,3/1/2021
16632,125,36,pos_1609663807076078036,0.01,2,pos,3/1/2021
32176,127,49,pos_1609650959448616049,0.01,2,pos,3/1/2021
32565,130,84,pos_1609668576908105084,0.01,2,pos,3/1/2021
10885,132,27,pos_1609766466882341027,0.01,2,pos,4/1/2021
30181,138,79,pos_1609765882169143079,0.01,2,pos,4/1/2021
28030,140,137,pos_1609758395598945137,0.01,2,pos,4/1/2021
42439,143,156,pos_1610357032955939156,0.01,2,pos,11/1/2021
46972,144,261,pos_1610369299459239261,0.01,2,pos,11/1/2021
1035,147,95,pos_1610370652250712095,0.01,2,pos,11/1/2021
190,152,75,pos_1610447554178418075,0.01,2,pos,12/1/2021
11473,154,201,pos_1610466528563561201,0.01,2,pos,12/1/2021
11639,155,167,pos_1610467152393307167,0.01,2,pos,12/1/2021
13066,157,18,pos_1610513447402192018,0.01,2,pos,13/01/2021
36521,158,104,pos_1610567618772803104,0.01,2,pos,13/01/2021
45221,163,10,pos_1610539815611594010,0.01,2,pos,13/01/2021
11440,167,74,pos_1610622291925520074,0.01,2,pos,14/01/2021
41148,168,28,pos_1610652946231728028,0.01,2,pos,14/01/2021
5359,169,5542362323,pos_1610609194938714098,0.01,2,pos,14/01/2021
23114,172,75,pos_1610636079952578075,0.01,2,pos,14/01/2021
28918,175,65,pos_1610725681547627065,0.01,2,pos,15/01/2021
12596,179,90,pos_1610703765859499090,0.01,2,pos,15/01/2021
35965,183,31,pos_1610809571615697031,0.01,2,pos,16/01/2021
47186,184,101,pos_1610784058258084101,0.01,2,pos,16/01/2021
19311,186,63,pos_1610801453593367063,0.01,2,pos,16/01/2021
11407,191,5,pos_1610804923830005005,0.01,2,pos,16/01/2021
36746,196,45,pos_1610865167622899045,0.01,2,pos,17/01/2021
33328,197,16,pos_1610849759064317016,0.01,2,pos,17/01/2021
20242,199,11,pos_1610863778890044011,0.01,2,pos,17/01/2021
4653,201,103,pos_1610884525255745103,0.01,2,pos,17/01/2021
34888,202,21,pos_1610890917420396021,0.01,2,pos,17/01/2021
45341,207,184,pos_1610962601425300184,0.01,2,pos,18/01/2021
33170,209,35,pos_1610961413679465035,0.01,2,pos,18/01/2021
11812,213,141,pos_1611077259385454141,0.01,2,pos,19/01/2021
24467,214,60,pos_1611076036891999060,0.01,2,pos,19/01/2021
35124,215,20,pos_1611082109771896020,0.01,2,pos,19/01/2021
8458,216,35,pos_1611060886319461035,0.01,2,pos,19/01/2021
35168,218,188,pos_1611054922520092188,0.01,2,pos,19/01/2021
