,index,date,amount,transaction_id,rate,flat_fee,product
94674,123506,21/06/2021 13:02:49,965,pp_1624280568808898965,0.025,2,pp
94675,21859,1/6/2022 20:45,245,pos_1654116332669471245,0.01,2,pos
94676,48408,4/11/2022 15:45,162,pos_1667576738704290162,0.01,2,pos
94677,81780,31/12/2022 05:54:57,77,pos_1672466096770274077,0.01,2,pos
94678,73977,5/12/2022 8:12,14,pos_1670227933090088014,0.01,2,pos
94679,105491,17/04/2022 12:14:13,1313,pr_1650197652855939313,0.03,0,pr
94680,20335,17/05/2022 04:35:24,48,pos_1652762123707810048,0.01,2,pos
94681,92447,20/08/2021 11:06:04,3331,pr_1629457563669910331,0.03,0,pr
94682,65722,4/11/2022 8:25,239,pos_1667550324629889239,0.01,2,pos
94683,73944,5/12/2022 8:16,126,pos_1670228178162392126,0.01,2,pos
94684,2693,26/06/2021 05:46:28,153,pos_1624686388123446153,0.01,2,pos
94685,47147,29/10/2022 13:45:33,80,pos_1667051132586738080,0.01,2,pos
94686,73443,4/12/2022 10:31,306,pos_1670149871312704306,0.01,2,pos
94687,134442,6/7/2022 5:43,1470,pp_1657086183359200470,0.025,2,pp
94688,77547,18/12/2022 14:05:37,285,pos_1671372336623274285,0.01,2,pos
94689,125242,20/09/2021 02:40:49,574,pp_1632105648593975574,0.025,2,pp
94690,65908,4/11/2022 7:36,177,pos_1667547398413629177,0.01,2,pos
94691,85984,5/4/2021 6:03,936,pr_1617602604422645936,0.03,0,pr
94692,120651,21/12/2022 18:31:06,784,pr_1671647466220124784,0.03,0,pr
94693,19933,14/05/2022 16:24:57,9,pos_1652545497436594009,0.01,2,pos
94694,63625,26/10/2022 07:37:07,200,pos_1666769827129762200,0.01,2,pos
94695,101240,4/2/2022 6:42,428,pr_1643956935631249428,0.03,0,pr
94696,68193,14/11/2022 10:37:45,261,pos_1668422265185676261,0.01,2,pos
94697,128387,7/2/2022 0:20,854,pp_1644193239843064854,0.025,2,pp
94698,44655,18/10/2022 09:14:27,190,pos_1666084467078490190,0.01,2,pos
94699,75182,10/12/2022 5:45,123,pos_1670651129491647123,0.01,2,pos
94700,48236,3/11/2022 9:48,114,pos_1667468928257322114,0.01,2,pos
94701,96288,3/11/2021 21:36,222,pr_1635975395839608222,0.03,0,pr
94702,22182,3/6/2022 12:08,224,pos_1654258118666963224,0.01,2,pos
94703,20521,19/05/2022 18:58:40,133,pos_1652986720059565133,0.01,2,pos
94704,97760,1/12/2021 21:34,355,pr_1638394468704024355,0.03,0,pr
94705,58296,1/10/2022 8:26,100,pos_1664612806975334100,0.01,2,pos
94706,64947,31/10/2022 11:13:20,78,pos_1667214800004871078,0.01,2,pos
94707,110238,29/06/2022 09:03:58,1068,pr_1656493437741561068,0.03,0,pr
94708,91620,3/8/2021 3:08,120,pr_1627960121284282120,0.03,0,pr
94709,42018,6/10/2022 10:15,101,pos_1665051312810775101,0.01,2,pos
94710,81311,29/12/2022 12:00:00,126,pos_1672315199678673126,0.01,2,pos
94711,86519,17/04/2021 01:24:26,990,pr_1618622666278380990,0.03,0,pr
94712,44554,18/10/2022 18:29:25,29,pos_1666117765277637029,0.01,2,pos
94713,131931,10/5/2022 11:11,386,pp_1652181094127487386,0.025,2,pp
94714,128926,24/02/2022 11:09:58,274,pp_1645700997535134274,0.025,2,pp
94715,108804,6/6/2022 8:56,2251,pr_1654505803460498251,0.03,0,pr
94716,57258,26/09/2022 04:38:01,64,pos_1664167080839580064,0.01,2,pos
94717,76590,14/12/2022 13:29:58,332,pos_1671024598300991332,0.01,2,pos
94718,138877,16/10/2022 10:56:42,373,pp_1665917801613012373,0.025,2,pp
94719,111503,20/07/2022 14:08:05,1414,pr_1658326085124235414,0.03,0,pr
94720,69079,18/11/2022 14:03:03,79,pos_1668780182648943079,0.01,2,pos
94721,50598,13/11/2022 12:11:52,18,pos_1668341511724285018,0.01,2,pos
94722,3085,13/07/2021 11:57:57,309,pos_1626177477423314309,0.01,2,pos
94723,119628,4/12/2022 13:00,1048,pr_1670158816336653048,0.03,0,pr
94724,108421,31/05/2022 08:22:50,970,pr_1653985370018612970,0.03,0,pr
94725,62756,22/10/2022 18:10:21,7,pos_1666462221065666007,0.01,2,pos
94726,131554,2/5/2022 14:02,459,pp_1651500138470318459,0.025,2,pp
94727,103484,16/03/2022 14:21:35,376,pr_1647440494540870376,0.03,0,pr
94728,87454,9/5/2021 1:06,803,pr_1620522414360484803,0.03,0,pr
94729,1380,18/04/2021 03:23:47,194,pos_1618716227072607194,0.01,2,pos
94730,68805,17/11/2022 12:42:30,137,pos_1668688949852362137,0.01,2,pos
94731,41811,5/10/2022 13:17,108,pos_1664975837527407108,0.01,2,pos
94732,41633,4/10/2022 8:27,40,pos_1664872023750615040,0.01,2,pos
94733,74316,7/12/2022 11:42,69,pos_1670413320022583069,0.01,2,pos
94734,84769,8/3/2021 12:01,2424,pr_1615204898413207424,0.03,0,pr
94735,67790,13/11/2022 14:30:33,56,pos_1668349832782303056,0.01,2,pos
94736,133796,21/06/2022 10:10:05,1977,pp_1655806205428960977,0.025,2,pp
94737,114009,28/08/2022 14:13:14,1423,pr_1661695994153298423,0.03,0,pr
94738,78694,21/12/2022 14:54:54,170,pos_1671634494376561170,0.01,2,pos
94739,68282,15/11/2022 06:00:08,21,pos_1668492007641282021,0.01,2,pos
94740,55014,30/11/2022 13:54:10,224,pos_1669816450055567224,0.01,2,pos
94741,130709,12/4/2022 14:41,23,pp_1649774463027064023,0.025,2,pp
94742,34299,26/08/2022 13:34:04,171,pos_1661520844414239171,0.01,2,pos
94743,86948,27/04/2021 05:20:06,813,pr_1619500806423155813,0.03,0,pr
94744,12195,12/2/2022 22:22,185,pos_1644704572795689185,0.01,2,pos
94745,17804,23/04/2022 14:56:55,208,pos_1650725815471622208,0.01,2,pos
94746,132062,12/5/2022 10:16,844,pp_1652350572114861844,0.025,2,pp
94747,85760,31/03/2021 15:08:32,386,pr_1617203312380728386,0.03,0,pr
94748,42939,10/10/2022 8:04,185,pos_1665389061750198185,0.01,2,pos
94749,65242,1/11/2022 0:19,79,pos_1667261957167676079,0.01,2,pos
94750,108844,7/6/2022 20:13,1409,pr_1654632830286053409,0.03,0,pr
94751,123373,12/6/2021 14:44,2200,pp_1623509096771579200,0.025,2,pp
94752,1168,4/4/2021 6:12,6,pos_1617516753081253006,0.01,2,pos
94753,48371,4/11/2022 19:57,166,pos_1667591845449451166,0.01,2,pos
94754,100167,16/01/2022 07:55:05,422,pr_1642319704521128422,0.03,0,pr
94755,82706,20/01/2021 07:42:51,125,pr_1611128570836357125,0.03,0,pr
94756,112185,30/07/2022 22:56:32,457,pr_1659221792407448457,0.03,0,pr
94757,21902,1/6/2022 8:44,16,pos_1654073040508726016,0.01,2,pos
94758,37656,14/09/2022 13:53:49,61,pos_1663163628888785061,,,pos
94759,131627,4/5/2022 7:39,1547,pp_1651649940917493547,0.025,2,pp
94760,28553,22/07/2022 07:16:42,52,pos_1658474202347649052,0.01,2,pos
94761,86693,21/04/2021 00:26:45,355,pr_1618964804850079355,0.03,0,pr
94762,73382,4/12/2022 14:31,240,pos_1670164281529361240,0.01,2,pos
94763,96639,10/11/2021 18:40,636,pr_1636569632088160636,0.03,0,pr
94764,19702,12/5/2022 10:14,14,pos_1652350445162973014,0.01,2,pos
94765,104396,30/03/2022 09:38:48,717,pr_1648633127725735717,0.03,0,pr
94766,50141,11/11/2022 16:46,255,pos_1668185194770676255,0.01,2,pos
94767,98893,23/12/2021 01:36:22,233,pr_1640223381588712233,0.03,0,pr
94768,117224,22/10/2022 12:36:16,293,pr_1666442175668688293,0.03,0,pr
94769,91011,22/07/2021 04:07:54,1183,pr_1626926873843774183,0.03,0,pr
94770,85843,2/4/2021 8:00,662,pr_1617350431089978662,0.03,0,pr
94771,8011,1/12/2021 2:07,160,pos_1638324425059767160,0.01,2,pos
94772,20394,18/05/2022 19:06:41,101,pos_1652900801026535101,0.01,2,pos
94773,44511,18/10/2022 05:53:00,140,pos_1666072379621112140,0.01,2,pos
94774,5212,25/09/2021 07:47:15,19,pos_1632556035136937019,0.01,2,pos
94775,85477,24/03/2021 05:08:29,1428,pr_1616562509046895428,0.03,0,pr
94776,5846,11/10/2021 9:32,5,pos_1633944755216098005,0.01,2,pos
94777,67584,12/11/2022 8:15,5,pos_1668240904044666005,0.01,2,pos
94778,39165,22/09/2022 06:10:02,91,pos_1663827002379441091,,,pos
94779,7507,20/11/2021 12:43:46,103,pos_1637412225672456103,0.01,2,pos
94780,56535,5/12/2022 9:58,37,pos_1670234327277136037,0.01,2,pos
94781,140311,20/11/2022 16:25:10,1701,pp_1668961510415100701,0.025,2,pp
94782,23054,10/6/2022 7:08,233,pos_1654844894863570233,0.01,2,pos
94783,101320,6/2/2022 20:42,1951,pr_1644180139297999951,0.03,0,pr
94784,72546,30/11/2022 16:32:04,217,pos_1669825923760463217,0.01,2,pos
94785,37736,15/09/2022 17:50:36,93,pos_1663264236383139093,,,pos
94786,546,17/02/2021 15:52:37,225,pos_1613577157160851225,0.01,2,pos
94787,118696,18/11/2022 04:02:08,322,pr_1668744128036996322,0.03,0,pr
94788,51027,15/11/2022 21:02:43,289,pos_1668546162916415289,0.01,2,pos
94789,141306,15/12/2022 17:23:28,887,pp_1671125008104043887,0.025,2,pp
94790,127611,5/1/2022 10:10,1968,pp_1641377441158157968,0.025,2,pp
94791,12851,21/02/2022 15:49:11,138,pos_1645458550759448138,0.01,2,pos
94792,102030,19/02/2022 09:55:57,1252,pr_1645264556898650252,0.03,0,pr
94793,63241,24/10/2022 02:35:50,64,pos_1666578949713596064,0.01,2,pos
94794,38405,18/09/2022 09:14:29,73,pos_1663492469193068073,0.01,2,pos
94795,99255,29/12/2021 09:20:53,695,pr_1640769653144735695,0.03,0,pr
94796,67053,9/11/2022 4:17,129,pos_1667967462101574129,0.01,2,pos
94797,110021,25/06/2022 14:16:54,705,pr_1656166614060115705,0.03,0,pr
94798,58812,3/10/2022 7:09,59,pos_1664780973644480059,0.01,2,pos
94799,13061,24/02/2022 10:11:12,19,pos_1645697471698646019,0.01,2,pos
94800,113735,24/08/2022 13:11:30,479,pr_1661346690351558479,0.03,0,pr
94801,22130,3/6/2022 17:12,130,pos_1654276328974218130,0.01,2,pos
94802,99434,2/1/2022 11:50,1296,pr_1641124206487473296,0.03,0,pr
94803,82822,22/01/2021 19:09:11,1569,pr_1611342550602263569,0.03,0,pr
94804,64262,28/10/2022 07:31:19,239,pos_1666942279080280239,0.01,2,pos
94805,113791,25/08/2022 11:44:10,58,pr_1661427849624983058,0.03,0,pr
94806,6001,15/10/2021 13:26:51,183,pos_1634304410592578183,0.01,2,pos
94807,127070,14/12/2021 10:52:44,2059,pp_1639479164271097059,0.025,2,pp
94808,111329,17/07/2022 10:52:20,1580,pr_1658055140387677580,0.03,0,pr
94809,60781,13/10/2022 08:50:51,226,pos_1665651051391246226,0.01,2,pos
94810,18475,30/04/2022 07:24:26,59,pos_1651303466430141059,0.01,2,pos
94811,91340,28/07/2021 03:52:22,959,pr_1627444341811144959,0.03,0,pr
94812,110716,7/7/2022 16:53,1576,pr_1657212827575824576,0.03,0,pr
94813,44656,18/10/2022 12:00:52,80,pos_1666094452338625080,0.01,2,pos
94814,117558,27/10/2022 11:34:17,1837,pr_1666870456501557837,0.03,0,pr
94815,56233,4/12/2022 12:43,147,pos_1670157825005435147,0.01,2,pos
94816,64456,29/10/2022 06:56:21,226,pos_1667026580920811226,0.01,2,pos
94817,38626,19/09/2022 09:54:18,135,pos_1663581257803440135,0.01,2,pos
94818,14704,19/03/2022 18:38:07,277,pos_1647715086989210277,0.01,2,pos
94819,132191,14/05/2022 15:25:02,509,pp_1652541902027518509,0.025,2,pp
94820,25189,27/06/2022 14:06:58,178,pos_1656338817743192178,0.01,2,pos
94821,59270,6/10/2022 10:37,112,pos_1665052638584344112,0.01,2,pos
94822,132376,18/05/2022 14:00:03,614,pp_1652882403365634614,0.025,2,pp
94823,120392,16/12/2022 18:33:55,1234,pr_1671215635031882234,0.03,0,pr
94824,46995,29/10/2022 11:47:35,205,pos_1667044055301829205,0.01,2,pos
94825,84500,2/3/2021 13:22,320,pr_1614691366961038320,0.03,0,pr
94826,97516,26/11/2021 14:30:07,1974,pr_1637937006560516974,0.03,0,pr
94827,63663,26/10/2022 12:20:07,26,pos_1666786806956188026,0.01,2,pos
94828,86908,26/04/2021 18:04:35,1489,pr_1619460275145591489,0.03,0,pr
94829,140388,21/11/2022 07:15:34,796,pp_1669014934308612796,0.025,2,pp
94830,36930,10/9/2022 11:45,104,pos_1662810358764839104,0.01,2,pos
94831,44863,19/10/2022 08:32:55,34,pos_1666168374847719034,0.01,2,pos
94832,75124,9/12/2022 5:08,85,pos_1670562519351293085,0.01,2,pos
94833,104852,7/4/2022 9:19,2287,pr_1649323158072360287,0.03,0,pr
94834,15827,1/4/2022 10:45,148,pos_1648809906795899148,0.01,2,pos
94835,76129,13/12/2022 15:28:11,35,pos_1670945291106525035,0.01,2,pos
94836,45151,20/10/2022 10:04:14,46,pos_1666260253743179046,0.01,2,pos
94837,64329,29/10/2022 07:29:25,14,pos_1667028564585463014,0.01,2,pos
94838,9024,21/12/2021 16:47:27,12,pos_1640105246516109012,0.01,2,pos
94839,25531,30/06/2022 14:27:09,108,pos_1656599229150167108,0.01,2,pos
94840,113903,27/08/2022 09:11:46,2258,pr_1661591505811480258,0.03,0,pr
94841,92101,13/08/2021 16:37:43,907,pr_1628872662982440907,0.03,0,pr
94842,105649,19/04/2022 08:23:57,488,pr_1650356636628090488,0.03,0,pr
94843,78622,21/12/2022 04:50:06,11,pos_1671598205927618011,0.01,2,pos
94844,33633,22/08/2022 15:52:08,70,pos_1661183527509706070,0.01,2,pos
94845,18099,26/04/2022 08:58:52,39,pos_1650963531585416039,0.01,2,pos
94846,33601,22/08/2022 13:59:15,172,pos_1661176755329057172,0.01,2,pos
94847,22333,5/6/2022 14:55,75,pos_1654440927102500075,0.01,2,pos
94848,3559,1/8/2021 15:14,78,pos_1627830898426893078,0.01,2,pos
94849,124312,4/8/2021 18:38,397,pp_1628102313621936397,0.025,2,pp
94850,71284,26/11/2022 10:47:23,259,pos_1669459642987191259,0.01,2,pos
94851,41190,2/10/2022 18:39,230,pos_1664735984732034230,0.01,2,pos
94852,103131,10/3/2022 9:27,675,pr_1646904437447883675,0.03,0,pr
94853,52036,19/11/2022 14:26:36,224,pos_1668867996181056224,0.01,2,pos
94854,20312,17/05/2022 15:21:17,27,pos_1652800877288315027,0.01,2,pos
94855,140302,19/11/2022 06:11:42,1382,pp_1668838301647380382,0.025,2,pp
94856,118523,15/11/2022 09:46:47,1206,pr_1668505607373996206,0.03,0,pr
94857,164,13/01/2021 19:55:04,32,pos_1610567704422149032,0.01,2,pos
94858,41031,1/10/2022 11:57,134,pos_1664625443694519134,0.01,2,pos
94859,77355,17/12/2022 15:36:18,109,pos_1671291377802931109,0.01,2,pos
94860,10332,13/01/2022 06:37:11,16,pos_1642055831319688016,0.01,2,pos
94861,72349,30/11/2022 11:44:01,74,pos_1669808640770387074,0.01,2,pos
94862,17975,25/04/2022 14:31:28,34,pos_1650897088037267034,0.01,2,pos
94863,14873,21/03/2022 17:48:35,132,pos_1647884914510241132,0.01,2,pos
94864,9180,24/12/2021 07:02:25,285,pos_1640329344947458285,0.01,2,pos
94865,72751,1/12/2022 12:26,141,pos_1669897617672772141,0.01,2,pos
94866,133112,4/6/2022 10:38,72,pp_1654339083917322072,0.025,2,pp
94867,19322,9/5/2022 10:48,63,pos_1652093295134389063,0.01,2,pos
94868,97881,4/12/2021 12:52,243,pr_1638622344589953243,0.03,0,pr
94869,78178,20/12/2022 08:49:17,230,pos_1671526157192148230,0.01,2,pos
94870,47490,31/10/2022 12:35:02,294,pos_1667219701796081294,0.01,2,pos
94871,35677,3/9/2022 17:27,29,pos_1662226065360895029,0.01,2,pos
94872,111239,16/07/2022 14:22:33,2768,pr_1657981352563538768,0.03,0,pr
94873,36448,8/9/2022 18:05,227,pos_1662660351884266227,0.01,2,pos
